Data,Produto,Inicial,Vendidos,Quebra,% Quebra,Estoque Final,Filial,Lucro Bruto
2025-10-01,DONUT CRCTE DOCE DE LEITE 75G,,26.0,7.0,21.21,,1,84.84
2025-10-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-11-01,EMPADA DE CARNE,,0.0,0.0,0.0,,001,0.0
2025-11-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,001,0.0
2025-11-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,001,0.0
2025-11-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,001,0.0
2025-11-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,001,0.0
2025-11-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,001,0.0
2025-11-01,FAGOTTO DE CALABRESA COM CHEDDAR,,239.0,84.0,26.01,,001,598.19
2025-11-01,FAGOTTO DE CARNE,,15.0,11.0,42.31,,001,5.810000000000002
2025-11-01,FOLHADO DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,001,0.0
2025-11-01,CACHORRO QUENTE DE FORNO 160G,,9.0,13.0,59.09,,001,-35.73000000000002
2025-11-01,PAO DE QUEIJO SUPER LANCHE,,25.0,15.0,37.5,,001,23.849999999999994
2025-11-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,001,0.0
2025-11-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,001,0.0
2025-11-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPANADA DE FRANGO 140G,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPADA DE FRANGO,,0.0,0.0,0.0,,001,0.0
2025-11-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,001,0.0
2025-11-01,COXINHA DE FRANGO COM REQUEIJAO,,18.0,16.0,47.06,,001,35.31999999999999
2025-11-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,001,0.0
2025-11-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,4.0,12.0,75.0,,001,-34.279999999999994
2025-11-01,DONUT DE CHOCOLATE AO LEITE 75G,,3.0,0.0,0.0,,001,14.07
2025-11-01,DONUT CRCTE DOCE DE LEITE 75G,,2.0,0.0,0.0,,001,9.38
2025-11-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,001,0.0
